N,mu_at_cooperation_eq
5.0,-3.5400000000000005
5.250836120401337,-3.5219397993311037
5.501672240802676,-3.503879598662207
5.752508361204013,-3.485819397993311
6.003344481605351,-3.467759197324414
6.254180602006689,-3.4496989966555183
6.505016722408026,-3.4316387959866224
6.7558528428093645,-3.4135785953177256
7.006688963210703,-3.3955183946488288
7.25752508361204,-3.377458193979933
7.508361204013378,-3.359397993311037
7.759197324414716,-3.34133779264214
8.010033444816052,-3.3232775919732442
8.26086956521739,-3.3052173913043483
8.511705685618729,-3.2871571906354515
8.762541806020067,-3.2690969899665547
9.013377926421406,-3.251036789297659
9.264214046822742,-3.232976588628763
9.51505016722408,-3.214916387959866
9.765886287625417,-3.19685618729097
10.016722408026755,-3.1787959866220734
10.267558528428093,-3.1607357859531766
10.518394648829432,-3.1426755852842807
10.76923076923077,-3.124615384615385
11.020066889632107,-3.106555183946488
11.270903010033445,-3.0884949832775916
11.521739130434781,-3.0704347826086957
11.77257525083612,-3.0523745819397994
12.023411371237458,-3.034314381270903
12.274247491638796,-3.0162541806020067
12.525083612040135,-2.99819397993311
12.775919732441473,-2.9801337792642135
13.02675585284281,-2.9620735785953176
13.277591973244148,-2.9440133779264213
13.528428093645484,-2.9259531772575254
13.779264214046822,-2.907892976588629
14.03010033444816,-2.8898327759197326
14.280936454849499,-2.871772575250836
14.531772575250836,-2.8537123745819395
14.782608695652174,-2.835652173913043
15.033444816053512,-2.8175919732441472
15.284280936454849,-2.799531772575251
15.535117056856187,-2.7814715719063545
15.785953177257525,-2.7634113712374586
16.036789297658864,-2.745351170568562
16.287625418060202,-2.7272909698996655
16.53846153846154,-2.709230769230769
16.78929765886288,-2.6911705685618728
17.040133779264213,-2.6731103678929764
17.29096989966555,-2.6550501672240805
17.54180602006689,-2.636989966555184
17.792642140468228,-2.6189297658862873
18.043478260869563,-2.6008695652173914
18.2943143812709,-2.582809364548495
18.54515050167224,-2.5647491638795987
18.795986622073578,-2.5466889632107024
19.046822742474916,-2.528628762541806
19.297658862876254,-2.510568561872909
19.548494983277592,-2.4925083612040133
19.79933110367893,-2.474448160535117
20.05016722408027,-2.4563879598662206
20.301003344481607,-2.4383277591973247
20.551839464882946,-2.4202675585284283
20.80267558528428,-2.402207357859532
21.05351170568562,-2.384147157190635
21.304347826086957,-2.366086956521739
21.555183946488295,-2.3480267558528425
21.806020066889634,-2.329966555183946
22.05685618729097,-2.3119063545150507
22.307692307692307,-2.2938461538461543
22.558528428093645,-2.275785953177258
22.809364548494983,-2.257725752508361
23.06020066889632,-2.239665551839465
23.31103678929766,-2.2216053511705685
23.561872909698998,-2.203545150501672
23.812709030100333,-2.185484949832776
24.06354515050167,-2.16742474916388
24.31438127090301,-2.149364548494984
24.565217391304348,-2.131304347826087
24.816053511705686,-2.1132441471571908
25.066889632107024,-2.0951839464882944
25.317725752508363,-2.077123745819398
25.568561872909697,-2.0590635451505017
25.819397993311036,-2.041003344481606
26.070234113712374,-2.022943143812709
26.321070234113712,-2.0048829431438127
26.57190635451505,-1.9868227424749167
26.82274247491639,-1.9687625418060204
27.073578595317727,-1.950702341137124
27.32441471571906,-1.9326421404682277
27.5752508361204,-1.914581939799331
27.82608695652174,-1.8965217391304345
28.076923076923077,-1.8784615384615382
28.327759197324415,-1.8604013377926423
28.578595317725753,-1.842341137123746
28.82943143812709,-1.8242809364548496
29.080267558528426,-1.8062207357859537
29.331103678929765,-1.7881605351170569
29.581939799331103,-1.7701003344481605
29.83277591973244,-1.7520401337792642
30.08361204013378,-1.7339799331103678
30.334448160535118,-1.7159197324414714
30.585284280936456,-1.6978595317725755
30.836120401337794,-1.6797993311036787
31.08695652173913,-1.6617391304347828
31.337792642140467,-1.6436789297658865
31.588628762541806,-1.6256187290969901
31.839464882943144,-1.6075585284280938
32.09030100334448,-1.5894983277591974
32.341137123745824,-1.5714381270903006
32.591973244147155,-1.5533779264214047
32.84280936454849,-1.5353177257525084
33.09364548494983,-1.5172575250836124
33.34448160535117,-1.499197324414716
33.59531772575251,-1.4811371237458197
33.84615384615385,-1.4630769230769234
34.096989966555185,-1.4450167224080266
34.34782608695652,-1.4269565217391302
34.59866220735786,-1.4088963210702339
34.84949832775919,-1.390836120401338
35.10033444816054,-1.3727759197324416
35.35117056856187,-1.3547157190635457
35.602006688963215,-1.3366555183946485
35.852842809364546,-1.3185953177257526
36.10367892976589,-1.3005351170568558
36.35451505016722,-1.2824749163879599
36.60535117056856,-1.264414715719064
36.8561872909699,-1.2463545150501676
37.10702341137124,-1.2282943143812712
37.357859531772576,-1.2102341137123744
37.608695652173914,-1.192173913043478
37.85953177257525,-1.1741137123745817
38.11036789297659,-1.1560535117056858
38.36120401337793,-1.1379933110367895
38.61204013377927,-1.1199331103678931
38.862876254180605,-1.1018729096989963
39.11371237458194,-1.0838127090301004
39.364548494983275,-1.065752508361204
39.61538461538461,-1.0476923076923077
39.86622073578595,-1.0296321070234118
40.11705685618729,-1.0115719063545154
40.36789297658863,-0.9935117056856188
40.618729096989966,-0.9754515050167224
40.869565217391305,-0.9573913043478258
41.12040133779264,-0.9393311036789295
41.37123745819398,-0.9212709030100336
41.62207357859532,-0.9032107023411372
41.87290969899666,-0.8851505016722406
42.123745819397996,-0.8670903010033443
42.374581939799334,-0.8490301003344479
42.625418060200666,-0.830969899665552
42.876254180602004,-0.8129096989966561
43.12709030100334,-0.7948494983277595
43.37792642140468,-0.7767892976588632
43.62876254180602,-0.7587290969899666
43.87959866220736,-0.7406688963210702
44.130434782608695,-0.7226086956521739
44.381270903010034,-0.704548494983278
44.63210702341137,-0.6864882943143814
44.88294314381271,-0.668428093645485
45.13377926421405,-0.6503678929765885
45.38461538461539,-0.6323076923076921
45.635451505016725,-0.6142474916387958
45.88628762541806,-0.5961872909698992
46.137123745819395,-0.578127090301004
46.38795986622073,-0.5600668896321074
46.63879598662207,-0.542006688963211
46.88963210702341,-0.5239464882943144
47.14046822742475,-0.5058862876254181
47.391304347826086,-0.48782608695652174
47.642140468227424,-0.46976588628762583
47.89297658862876,-0.45170568561872926
48.1438127090301,-0.4336454849498329
48.39464882943144,-0.41558528428093633
48.64548494983278,-0.39752508361204
48.896321070234116,-0.3794648829431436
49.147157190635454,-0.3614046822742477
49.39799331103679,-0.34334448160535114
49.64882943143812,-0.32528428093645523
49.89966555183946,-0.3072240802675589
50.1505016722408,-0.2891638795986623
50.40133779264214,-0.27110367892976595
50.65217391304348,-0.2530434782608696
50.903010033444815,-0.23498327759197368
51.15384615384615,-0.2169230769230771
51.40468227424749,-0.19886287625418075
51.65551839464883,-0.18080267558528418
51.90635451505017,-0.16274247491638782
52.15719063545151,-0.14468227424749147
52.408026755852845,-0.12662207357859556
52.65886287625418,-0.10856187290969899
52.90969899665552,-0.09050167224080263
53.16053511705685,-0.07244147157190672
53.41137123745819,-0.05438127090301026
53.66220735785953,-0.036321070234113795
53.91304347826087,-0.018260869565217885
54.163879598662206,-0.00020066889632142093
54.414715719063544,0.017859531772574933
54.66555183946488,0.0359197324414714
54.91638795986622,0.05397993311036786
55.16722408026756,0.07204013377926433
55.4180602006689,0.09010033444816079
55.668896321070235,0.1081605351170567
55.919732441471574,0.12622073578595305
56.17056856187291,0.14428093645484952
56.42140468227425,0.16234113712374598
56.67224080267559,0.18040133779264245
56.92307692307692,0.19846153846153836
57.17391304347826,0.21652173913043427
57.424749163879596,0.23458193979933073
57.675585284280935,0.2526421404682271
57.92642140468227,0.27070234113712355
58.17725752508361,0.28876254180602
58.42809364548495,0.3068227424749165
58.67892976588629,0.3248829431438124
58.929765886287626,0.34294314381270885
59.180602006688964,0.3610033444816052
59.4314381270903,0.37906354515050167
59.68227424749164,0.39712374581939813
59.93311036789298,0.4151839464882946
60.18394648829432,0.4332441471571905
60.43478260869565,0.45130434782608636
60.68561872909699,0.4693645484949828
60.936454849498325,0.4874247491638793
61.187290969899664,0.5054849498327757
61.438127090301,0.5235451505016722
61.68896321070234,0.5416053511705685
61.93979933110368,0.5596655518394644
62.19063545150502,0.577725752508361
62.441471571906355,0.5957859531772574
62.69230769230769,0.6138461538461538
62.94314381270903,0.6319063545150503
63.19397993311037,0.6499665551839466
63.44481605351171,0.6680267558528427
63.69565217391305,0.6860869565217391
63.94648829431438,0.704147157190635
64.19732441471572,0.7222073578595319
64.44816053511705,0.7402675585284278
64.69899665551839,0.7583277591973238
64.94983277591973,0.7763879598662208
65.20066889632108,0.7944481605351171
65.45150501672241,0.812508361204013
65.70234113712374,0.830568561872909
65.95317725752508,0.848628762541806
66.20401337792643,0.866688963210703
66.45484949832776,0.8847491638795989
66.70568561872909,0.9028093645484948
66.95652173913044,0.9208695652173912
67.20735785953178,0.9389297658862887
67.4581939799331,0.956989966555183
67.70903010033445,0.9750501672240794
67.95986622073579,0.993110367892977
68.21070234113712,1.0111705685618724
68.46153846153845,1.0292307692307687
68.7123745819398,1.0472909698996653
68.96321070234114,1.0653511705685617
69.21404682274247,1.083411371237458
69.4648829431438,1.1014715719063535
69.71571906354515,1.119531772575251
69.96655518394648,1.1375919732441464
70.21739130434783,1.1556521739130439
70.46822742474916,1.1737123745819393
70.7190635451505,1.1917725752508357
70.96989966555184,1.209832775919732
71.22073578595318,1.2278929765886286
71.47157190635451,1.245953177257525
71.72240802675586,1.2640133779264215
71.97324414715719,1.282073578595318
72.22408026755853,1.3001337792642143
72.47491638795987,1.3181939799331097
72.72575250836121,1.3362541806020072
72.97658862876254,1.3543143812709026
73.22742474916387,1.372374581939799
73.47826086956522,1.3904347826086956
73.72909698996655,1.4084949832775908
73.9799331103679,1.4265551839464883
74.23076923076923,1.4446153846153837
74.48160535117057,1.4626755852842812
74.7324414715719,1.4807357859531767
74.98327759197325,1.4987959866220741
75.23411371237458,1.5168561872909696
75.48494983277592,1.534916387959866
75.73578595317726,1.5529765886287623
75.9866220735786,1.5710367892976589
76.23745819397993,1.5890969899665552
76.48829431438126,1.6071571906354507
76.73913043478261,1.6252173913043482
76.98996655518394,1.6432775919732436
77.24080267558529,1.66133779264214
77.49163879598662,1.6793979933110363
77.74247491638796,1.697458193979933
77.9933110367893,1.7155183946488293
78.24414715719064,1.7335785953177258
78.49498327759197,1.751638795986621
78.74581939799332,1.7696989966555186
78.99665551839465,1.787759197324414
79.24749163879599,1.8058193979933115
79.49832775919732,1.8238795986622067
79.74916387959867,1.8419397993311044
80.0,1.8599999999999999
