baseline_acc,checkpoint,drop_eps_1e-03,drop_eps_1e-04,drop_eps_3e-03,drop_eps_3e-04,group,noise_slope,plateau_anchor_step,plateau_hspec_var,post_noise_acc_eps_recover,post_noise_drop_eps_recover,recover_hspec_var,recover_target_acc,recovered,seed,t_recover_steps
0.925,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_141\checkpoints\step_300000.pt,0.0020000000000000018,0.0,0.0010000000000000009,0.000500000000000056,NO_TRANSITION,0.24714828897337576,2500,2.8034322209588532e-05,0.922,0.0030000000000000027,1.0269911526230905e-06,0.9157500000000001,True,seed_141,100
0.92,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_142\checkpoints\step_300000.pt,0.0,0.0,0.0,0.0,OPTIONAL,0.0,9000,2.5802114889409075e-06,0.9195,0.000500000000000056,2.4236247837637613e-06,0.9108,True,seed_142,100
0.8795,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_143\checkpoints\step_300000.pt,0.0,0.0,0.0,0.0,NO_TRANSITION,0.0,2500,8.895002941664125e-06,0.88,0.0,3.835289605281667e-06,0.870705,True,seed_143,100
0.924,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_144\checkpoints\step_300000.pt,0.0015000000000000568,0.000500000000000056,0.0015000000000000568,0.000500000000000056,NO_TRANSITION,0.34220532319391644,2500,7.302339976862895e-06,0.9235,0.000500000000000056,1.1799235125999275e-06,0.91476,True,seed_144,100
0.9325,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_147\checkpoints\step_300000.pt,0.0004999999999999449,0.0,0.0014999999999999458,0.0,NO_TRANSITION,0.5323193916349624,2500,2.6023109209791724e-05,0.932,0.0004999999999999449,2.8743444494463185e-06,0.923175,True,seed_147,100
0.897,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_154\checkpoints\step_300000.pt,0.000500000000000056,0.0,0.0020000000000000018,0.0,NO_TRANSITION,0.7129277566539919,2500,1.3913970597673495e-05,0.8975,0.0,1.4023786176613012e-06,0.88803,True,seed_154,100
0.906,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_158\checkpoints\step_300000.pt,0.0,0.0,0.0,0.0,NO_TRANSITION,0.0,2500,1.180805418154577e-05,0.905,0.0010000000000000009,1.2885385121999307e-06,0.8969400000000001,True,seed_158,100
0.895,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_159\checkpoints\step_300000.pt,0.0015000000000000568,0.0,0.0035000000000000586,0.0,REGISTERED_TRANSITION,1.23574144486694,1000,2.672316756428516e-06,0.8945,0.000500000000000056,4.124279846529616e-06,0.88605,True,seed_159,100
0.9115,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_163\checkpoints\step_300000.pt,0.0004999999999999449,0.0,0.0020000000000000018,0.0,NO_TRANSITION,0.7129277566539939,2500,2.5318168007629805e-05,0.9115,0.0,1.6131939778106685e-06,0.902385,True,seed_163,100
0.896,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_166\checkpoints\step_300000.pt,0.0,0.0,0.0,0.0,OPTIONAL,0.0,8000,2.296312342441682e-06,0.896,0.0,1.8846674942109213e-06,0.88704,True,seed_166,100
0.938,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_168\checkpoints\step_300000.pt,0.0,0.0,0.0,0.0,REGISTERED_TRANSITION,0.0,5000,1.977170935325649e-06,0.938,0.0,5.588342885049343e-07,0.9286199999999999,True,seed_168,100
0.9105,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_170\checkpoints\step_300000.pt,0.0,0.0,0.0,0.0,NO_TRANSITION,0.0,2500,1.234011909033833e-05,0.91,0.0004999999999999449,1.6572690001314642e-06,0.901395,True,seed_170,100
0.9155,D:\FIT Lab\grokking\runs_v0_6_structural_phase2\eval\seed_174\checkpoints\step_300000.pt,0.0010000000000000009,0.0,0.0,0.0,OPTIONAL,-0.01901140684410644,8500,1.163096879342909e-06,0.914,0.0014999999999999458,2.855023537879915e-06,0.906345,True,seed_174,100
