run_id,status,selected_n,channel_a,channel_b,rho_signed,rho_abs,sign_relation,event_a,event_b,event_offset_abs
B2_taxon9606_N100,ESTIMATOR_UNSTABLE,96,C_primary,C1_low_conf_frac,0.321429,0.321429,same-sign,5,3,2
B2_taxon9606_N100,ESTIMATOR_UNSTABLE,96,C_primary,C2_pae_offdiag,0.750000,0.750000,same-sign,5,3,2
B2_taxon9606_N100,ESTIMATOR_UNSTABLE,96,C_primary,C3_msa_deficit,0.285714,0.285714,same-sign,5,8,3
B2_taxon9606_N100,ESTIMATOR_UNSTABLE,96,C1_low_conf_frac,C2_pae_offdiag,0.714286,0.714286,same-sign,3,3,0
B2_taxon9606_N100,ESTIMATOR_UNSTABLE,96,C1_low_conf_frac,C3_msa_deficit,-0.357143,0.357143,opposite-sign,3,8,5
B2_taxon9606_N100,ESTIMATOR_UNSTABLE,96,C2_pae_offdiag,C3_msa_deficit,-0.142857,0.142857,opposite-sign,3,8,5
B2_taxon9606_N1000,ESTIMATOR_UNSTABLE,988,C_primary,C1_low_conf_frac,0.550000,0.550000,same-sign,2,2,0
B2_taxon9606_N1000,ESTIMATOR_UNSTABLE,988,C_primary,C2_pae_offdiag,0.512623,0.512623,same-sign,2,2,0
B2_taxon9606_N1000,ESTIMATOR_UNSTABLE,988,C_primary,C3_msa_deficit,-0.116667,0.116667,opposite-sign,2,8,6
B2_taxon9606_N1000,ESTIMATOR_UNSTABLE,988,C1_low_conf_frac,C2_pae_offdiag,0.865577,0.865577,same-sign,2,2,0
B2_taxon9606_N1000,ESTIMATOR_UNSTABLE,988,C1_low_conf_frac,C3_msa_deficit,-0.633333,0.633333,opposite-sign,2,8,6
B2_taxon9606_N1000,ESTIMATOR_UNSTABLE,988,C2_pae_offdiag,C3_msa_deficit,-0.655485,0.655485,opposite-sign,2,8,6
B2_taxon9606_N1000_split_a,ESTIMATOR_UNSTABLE,988,C_primary,C1_low_conf_frac,0.550000,0.550000,same-sign,2,2,0
B2_taxon9606_N1000_split_a,ESTIMATOR_UNSTABLE,988,C_primary,C2_pae_offdiag,0.512623,0.512623,same-sign,2,2,0
B2_taxon9606_N1000_split_a,ESTIMATOR_UNSTABLE,988,C_primary,C3_msa_deficit,-0.116667,0.116667,opposite-sign,2,8,6
B2_taxon9606_N1000_split_a,ESTIMATOR_UNSTABLE,988,C1_low_conf_frac,C2_pae_offdiag,0.865577,0.865577,same-sign,2,2,0
B2_taxon9606_N1000_split_a,ESTIMATOR_UNSTABLE,988,C1_low_conf_frac,C3_msa_deficit,-0.633333,0.633333,opposite-sign,2,8,6
B2_taxon9606_N1000_split_a,ESTIMATOR_UNSTABLE,988,C2_pae_offdiag,C3_msa_deficit,-0.655485,0.655485,opposite-sign,2,8,6
B2_taxon9606_N1000_split_b,ESTIMATOR_UNSTABLE,988,C_primary,C1_low_conf_frac,0.550000,0.550000,same-sign,2,2,0
B2_taxon9606_N1000_split_b,ESTIMATOR_UNSTABLE,988,C_primary,C2_pae_offdiag,0.512623,0.512623,same-sign,2,2,0
B2_taxon9606_N1000_split_b,ESTIMATOR_UNSTABLE,988,C_primary,C3_msa_deficit,-0.116667,0.116667,opposite-sign,2,8,6
B2_taxon9606_N1000_split_b,ESTIMATOR_UNSTABLE,988,C1_low_conf_frac,C2_pae_offdiag,0.865577,0.865577,same-sign,2,2,0
B2_taxon9606_N1000_split_b,ESTIMATOR_UNSTABLE,988,C1_low_conf_frac,C3_msa_deficit,-0.633333,0.633333,opposite-sign,2,8,6
B2_taxon9606_N1000_split_b,ESTIMATOR_UNSTABLE,988,C2_pae_offdiag,C3_msa_deficit,-0.655485,0.655485,opposite-sign,2,8,6
B2_taxon9606_N1000_split_c,ESTIMATOR_UNSTABLE,988,C_primary,C1_low_conf_frac,0.550000,0.550000,same-sign,2,2,0
B2_taxon9606_N1000_split_c,ESTIMATOR_UNSTABLE,988,C_primary,C2_pae_offdiag,0.512623,0.512623,same-sign,2,2,0
B2_taxon9606_N1000_split_c,ESTIMATOR_UNSTABLE,988,C_primary,C3_msa_deficit,-0.116667,0.116667,opposite-sign,2,8,6
B2_taxon9606_N1000_split_c,ESTIMATOR_UNSTABLE,988,C1_low_conf_frac,C2_pae_offdiag,0.865577,0.865577,same-sign,2,2,0
B2_taxon9606_N1000_split_c,ESTIMATOR_UNSTABLE,988,C1_low_conf_frac,C3_msa_deficit,-0.633333,0.633333,opposite-sign,2,8,6
B2_taxon9606_N1000_split_c,ESTIMATOR_UNSTABLE,988,C2_pae_offdiag,C3_msa_deficit,-0.655485,0.655485,opposite-sign,2,8,6
